11/12/2018 12:39:00 | SUCCESS | Category video Entry Priority Insert(142-0) | By-varun_ott025 | 
11/12/2018 12:39:07 | SUCCESS | Category video Entry Priority Insert(142-1) | By-varun_ott025 | 
11/12/2018 12:39:07 | SUCCESS | Category video Entry Priority Insert(142-0) | By-varun_ott025 | 
11/12/2018 12:39:07 | SUCCESS | Category video Entry Priority Insert(142-2) | By-varun_ott025 | 
11/12/2018 12:39:07 | SUCCESS | Category video Entry Priority Insert(142-0) | By-varun_ott025 | 
11/12/2018 12:39:07 | SUCCESS | Category video Entry Priority Insert(142-5) | By-varun_ott025 | 
11/12/2018 12:39:07 | SUCCESS | Category video Entry Priority Insert(142-0) | By-varun_ott025 | 
11/12/2018 12:40:54 | SUCCESS | Category video Entry Priority Insert(142-3) | By-varun_ott025 | 
11/12/2018 12:40:54 | SUCCESS | Category video Entry Priority Insert(142-4) | By-varun_ott025 | 
11/12/2018 12:40:54 | SUCCESS | Category video Entry Priority Insert(142-4) | By-varun_ott025 | 
11/12/2018 12:40:54 | SUCCESS | Category video Entry Priority Insert(142-4) | By-varun_ott025 | 
11/12/2018 12:40:54 | SUCCESS | Category video Entry Priority Insert(142-4) | By-varun_ott025 | 
11/12/2018 12:40:54 | SUCCESS | Category video Entry Priority Insert(142-4) | By-varun_ott025 | 
11/12/2018 13:33:04 | SUCCESS | Category video Entry Priority Insert(142-3) | By-varun_ott025 | 
11/12/2018 13:33:04 | SUCCESS | Category video Entry Priority Insert(142-0) | By-varun_ott025 | 
11/12/2018 13:33:04 | SUCCESS | Category video Entry Priority Insert(142-0) | By-varun_ott025 | 
11/12/2018 13:33:04 | SUCCESS | Category video Entry Priority Insert(142-0) | By-varun_ott025 | 
11/12/2018 13:33:04 | SUCCESS | Category video Entry Priority Insert(142-4) | By-varun_ott025 | 
11/12/2018 13:33:04 | SUCCESS | Category video Entry Priority Insert(142-5) | By-varun_ott025 | 
11/12/2018 13:34:49 | SUCCESS | Category video Entry Priority Insert(142-3) | By-varun_ott025 | 
11/12/2018 13:34:49 | SUCCESS | Category video Entry Priority Insert(142-0) | By-varun_ott025 | 
11/12/2018 13:34:49 | SUCCESS | Category video Entry Priority Insert(142-0) | By-varun_ott025 | 
11/12/2018 13:34:49 | SUCCESS | Category video Entry Priority Insert(142-0) | By-varun_ott025 | 
11/12/2018 13:34:49 | SUCCESS | Category video Entry Priority Insert(142-2) | By-varun_ott025 | 
11/12/2018 13:34:49 | SUCCESS | Category video Entry Priority Insert(142-1) | By-varun_ott025 | 
11/12/2018 13:35:47 | SUCCESS | Category video Entry Priority Insert(142-3) | By-varun_ott025 | 
11/12/2018 13:35:47 | SUCCESS | Category video Entry Priority Insert(142-0) | By-varun_ott025 | 
11/12/2018 13:35:47 | SUCCESS | Category video Entry Priority Insert(142-0) | By-varun_ott025 | 
11/12/2018 13:35:47 | SUCCESS | Category video Entry Priority Insert(142-0) | By-varun_ott025 | 
11/12/2018 13:35:47 | SUCCESS | Category video Entry Priority Insert(142-2) | By-varun_ott025 | 
11/12/2018 13:35:47 | SUCCESS | Category video Entry Priority Insert(142-1) | By-varun_ott025 | 
11/12/2018 13:38:14 | SUCCESS | Category video Entry Priority Insert(142-3) | By-varun_ott025 | 
11/12/2018 13:38:15 | SUCCESS | Category video Entry Priority Insert(142-0) | By-varun_ott025 | 
11/12/2018 13:38:15 | SUCCESS | Category video Entry Priority Insert(142-0) | By-varun_ott025 | 
